12	"class Algo {
public static int gcd(int a, int b) {
    long x = a;
    long y = b;
    if (x < 0) x = -x;
    if (y < 0) y = -y;
    if (x == 0) return (int) y;
    if (y == 0) return (int) x;
    int shift = 0;
    while (((x | y) & 1L) == 0) {
        x >>= 1;
        y >>= 1;
        shift++;
    }
    while ((x & 1L) == 0) x >>= 1;
    do {
        while ((y & 1L) == 0) y >>= 1;
        if (x > y) {
            long t = x; x = y; y = t;
        }
        y -= x;
    } while (y != 0);
    return (int) (x << shift);
}
}
"
13	"class Algo {
public static int gcd(int a, int b) {
    long x = a;
    if (x < 0) x = -x;
    long y = b;
    if (y < 0) y = -y;
    if (x == 0) return (int) y;
    if (y == 0) return (int) x;
    int shift = Math.min(Long.numberOfTrailingZeros(x), Long.numberOfTrailingZeros(y));
    x >>= Long.numberOfTrailingZeros(x);
    do {
        y >>= Long.numberOfTrailingZeros(y);
        if (x > y) {
            long t = x; x = y; y = t;
        }
        y -= x;
    } while (y != 0);
    long g = x << shift;
    return (int) g;
}
}
"
14	"class Algo {
public static int gcd(int a, int b) {
    long x = a;
    long y = b;
    if (x < 0) x = -x;
    if (y < 0) y = -y;
    if (x == 0) return (int) y;
    if (y == 0) return (int) x;
    int shift = Long.numberOfTrailingZeros(x | y);
    x >>= Long.numberOfTrailingZeros(x);
    do {
        y >>= Long.numberOfTrailingZeros(y);
        if (x > y) { long t = x; x = y; y = t; }
        y = y - x;
    } while (y != 0);
    return (int) (x << shift);
}
}
"
15	"class Algo {
public static int gcd(int a, int b) {
    long x = a;
    long y = b;
    if (x < 0) x = -x;
    if (y < 0) y = -y;
    if (x == 0) return (int) y;
    if (y == 0) return (int) x;
    while (x != y) {
        if (x > y) x -= y;
        else y -= x;
    }
    return (int) x;
}
}
"
16	"class Algo {
public static int gcd(int a, int b) {
    long x = a;
    long y = b;
    if (x == 0 && y == 0) return 0;
    if (x < 0) x = -x;
    if (y < 0) y = -y;
    if (x == 0) return (int) y;
    if (y == 0) return (int) x;
    while (x != 0 && y != 0) {
        if (x >= y) {
            long t = y;
            while (t <= x - t) t <<= 1;
            x -= t;
        } else {
            long t = x;
            while (t <= y - t) t <<= 1;
            y -= t;
        }
    }
    long g = (x == 0) ? y : x;
    return (int) g;
}
}
"
17	"class Algo {
public static int gcd(int a, int b) {
    long x = a;
    long y = b;
    if (x < 0) x = -x;
    if (y < 0) y = -y;
    if ((x | y) == 0) return 0;
    if (x == 0) return (int) y;
    if (y == 0) return (int) x;
    int shift = Long.numberOfTrailingZeros(x | y);
    x >>= Long.numberOfTrailingZeros(x);
    while (y != 0) {
        y >>= Long.numberOfTrailingZeros(y);
        if (x > y) {
            long t = x;
            x = y;
            y = t;
        }
        y -= x;
    }
    return (int) (x << shift);
}
}
"
18	"class Algo {
public static int gcd(int a, int b) {
    while (b != 0) {
        int r = a % b;
        a = b;
        b = r;
    }
    return a < 0 ? -a : a;
}
}
"
19	"class Algo {
public static int gcd(int a, int b) {
    long x = a;
    long y = b;
    if (x < 0) x = -x;
    if (y < 0) y = -y;
    if (x == 0) return (int) y;
    if (y == 0) return (int) x;
    int shift = Math.min(Long.numberOfTrailingZeros(x), Long.numberOfTrailingZeros(y));
    x >>= Long.numberOfTrailingZeros(x);
    do {
        y >>= Long.numberOfTrailingZeros(y);
        if (x > y) {
            long t = x; x = y; y = t;
        }
        y -= x;
    } while (y != 0);
    x <<= shift;
    return (int) x;
}
}
"
20	"class Algo {
public static int gcd(int a, int b) {
    if (a == 0) return Math.abs(b);
    if (b == 0) return Math.abs(a);
    long x = a < 0 ? -(long) a : (long) a;
    long y = b < 0 ? -(long) b : (long) b;
    int shift = Long.numberOfTrailingZeros(x | y);
    x >>= Long.numberOfTrailingZeros(x);
    y >>= Long.numberOfTrailingZeros(y);
    while (x != y) {
        if (x > y) {
            x -= y;
            x >>= Long.numberOfTrailingZeros(x);
        } else {
            y -= x;
            y >>= Long.numberOfTrailingZeros(y);
        }
    }
    return (int) (x << shift);
}
}
"
21	"class Algo {
public static int gcd(int a, int b) {
    if (a == 0) {
        if (b == Integer.MIN_VALUE) return Integer.MIN_VALUE;
        return b >= 0 ? b : -b;
    }
    if (b == 0) {
        if (a == Integer.MIN_VALUE) return Integer.MIN_VALUE;
        return a >= 0 ? a : -a;
    }
    long u = a;
    if (u < 0) u = -u;
    long v = b;
    if (v < 0) v = -v;
    int shift = Long.numberOfTrailingZeros(u | v);
    u >>= Long.numberOfTrailingZeros(u);
    v >>= Long.numberOfTrailingZeros(v);
    do {
        if (u > v) {
            long t = u;
            u = v;
            v = t;
        }
        v -= u;
        v >>= Long.numberOfTrailingZeros(v);
    } while (v != 0);
    long g = u << shift;
    return g == 2147483648L ? Integer.MIN_VALUE : (int) g;
}
}
"
22	"public class Algo {
    public static int gcd(int a, int b) {
        long x = a < 0 ? -(long) a : (long) a;
        long y = b < 0 ? -(long) b : (long) b;
        if (x == 0) return (int) y;
        if (y == 0) return (int) x;
        int shift = Long.numberOfTrailingZeros(x | y);
        x >>>= Long.numberOfTrailingZeros(x);
        do {
            y >>>= Long.numberOfTrailingZeros(y);
            if (x > y) { long t = x; x = y; y = t; }
            y -= x;
        } while (y != 0);
        return (int) (x << shift);
    }
}
"
23	"class Algo {
public static int is_non_decreasing(int[] a, int n) {
    for (int i = 1; i < n; i++) {
        if (a[i] < a[i - 1]) {
            return 0;
        }
    }
    return 1;
}
}
"
24	"class Algo {
    public static int is_non_decreasing(int[] a, int n) {
        if (n <= 1) return 1;
        if (a[n - 1] < a[n - 2]) return 0;
        return is_non_decreasing(a, n - 1);
    }
}
"
25	"class Algo {
public static int is_non_decreasing(int[] a, int n) {
    if (n <= 1) return 1;
    int min = a[n - 1];
    for (int i = n - 2; i >= 0; i--) {
        if (a[i] > min) return 0;
        if (a[i] < min) min = a[i];
    }
    return 1;
}
}
"
26	"class Algo {
public static int is_non_decreasing(int[] a, int n) {
    if (a == null) return n <= 1 ? 1 : 0;
    if (n <= 1) return 1;
    int minRight = a[n - 1];
    for (int i = n - 2; i >= 0; i--) {
        if (a[i] > minRight) return 0;
        if (a[i] < minRight) minRight = a[i];
    }
    return 1;
}
}
"
27	"class Algo {
public static int is_non_decreasing(final int[] a, long n) {
    if (n <= 1) return 1;
    if (a == null) return 0;
    int m = n < 0 ? 0 : (n > a.length ? a.length : (int) n);
    if (m <= 1) return 1;
    int[] b = new int[m];
    System.arraycopy(a, 0, b, 0, m);
    java.util.Arrays.sort(b);
    for (int i = 0; i < m; i++) {
        if (a[i] != b[i]) return 0;
    }
    return 1;
}
}
"
28	"class Algo {
public static int is_non_decreasing(int[] a, int n) {
    if (n <= 1) return 1;
    if (a == null) return 0;
    if (n > a.length) n = a.length;
    if (n <= 1) return 1;
    return (a[n - 2] <= a[n - 1]) ? is_non_decreasing(a, n - 1) : 0;
}
}
"
29	"class Algo {
public static int is_non_decreasing(int[] a, int n) {
    if (n <= 1) return 1;
    if (a == null) return 0;
    if (a[n - 2] > a[n - 1]) return 0;
    return is_non_decreasing(a, n - 1);
}
}
"
30	"public class Algo {
    public static int is_non_decreasing(int[] a, int n) {
        if (n <= 1) return 1;
        for (int i = 1; i < n; i++) {
            if (a[i] < a[i - 1]) return 0;
        }
        return 1;
    }
}
"
31	"public class Algo {
    public static int is_non_decreasing(int[] a, int n) {
        for (int i = 1; i < n; i++) {
            if (a[i] < a[i - 1]) {
                return 0;
            }
        }
        return 1;
    }
}
"
32	"class Algo {
public static int is_non_decreasing(final int[] a, int n) {
    if (n <= 1) return 1;
    int[] b = java.util.Arrays.copyOf(a, n);
    java.util.Arrays.sort(b);
    for (int i = 0; i < n; i++) {
        if (a[i] != b[i]) return 0;
    }
    return 1;
}
}
"
33	"class Algo {
public static int is_non_decreasing(int[] a, int n) {
    if (n <= 1) return 1;
    if (a[n - 2] > a[n - 1]) return 0;
    return is_non_decreasing(a, n - 1);
}
}
"
34	"class Algo {
public static int is_non_decreasing(int[] a, long n) {
    if (n <= 1) return 1;
    if (a == null) return 0;
    if (n > a.length) return 0;
    int idx = (int) n - 1;
    if (a[idx - 1] > a[idx]) return 0;
    return is_non_decreasing(a, n - 1);
}
}
"
35	"class Algo {
public static int is_non_decreasing(int[] a, int n) {
    if (n <= 1) return 1;
    if (a == null || n > a.length) return 0;
    for (int i = 1; i < n; i++) {
        if (a[i] < a[i - 1]) return 0;
    }
    return 1;
}
}
"
36	"class Algo {
public static int is_non_decreasing(int[] a, int n) {
    if (n <= 1) return 1;
    int[] orig = java.util.Arrays.copyOf(a, n);
    int[] sorted = java.util.Arrays.copyOf(orig, n);
    java.util.Arrays.sort(sorted, 0, n);
    return java.util.Arrays.equals(orig, sorted) ? 1 : 0;
}
}
"
37	"class Algo {
public static int is_non_decreasing(int[] a, long n) {
    if (a == null) return n == 0 ? 1 : 0;
    if (n <= 1) return 1;
    int m = (int) Math.min((long) a.length, n);
    if (m <= 1) return 1;
    int[] b = java.util.Arrays.copyOf(a, m);
    java.util.Arrays.sort(b);
    for (int i = 0; i < m; i++) if (a[i] != b[i]) return 0;
    return 1;
}
}
"
38	"class Algo {
public static int is_prime(int n) {
    if (n < 2) return 0;
    if (n == 2 || n == 3) return 1;
    if ((n & 1) == 0) return 0;
    if (n % 3 == 0) return 0;
    long d = n - 1;
    int s = 0;
    while ((d & 1) == 0) {
        d >>= 1;
        s++;
    }
    int[] bases = {2, 7, 61};
    for (int a : bases) {
        if (a % n == 0) continue;
        long x = 1;
        long base = a % n;
        long dd = d;
        while (dd > 0) {
            if ((dd & 1L) != 0) x = (x * base) % n;
            base = (base * base) % n;
            dd >>= 1;
        }
        if (x == 1 || x == n - 1) continue;
        boolean witness = true;
        for (int r = 1; r < s; r++) {
            x = (x * x) % n;
            if (x == n - 1) {
                witness = false;
                break;
            }
        }
        if (witness) return 0;
    }
    return 1;
}
}
"
39	"class Algo {
public static int is_prime(int n) {
    if (n < 2) return 0;
    if ((n & 1) == 0) return n == 2 ? 1 : 0;
    int[] small = {3,5,7,11,13,17,19,23,29,31,37};
    for (int p : small) {
        if (n == p) return 1;
        if (n % p == 0) return 0;
    }
    long d = n - 1;
    int s = 0;
    while ((d & 1) == 0) { d >>= 1; s++; }
    int[] bases = {2,3,5,7,11};
    long nn = n;
    for (int a : bases) {
        if (a % n == 0) continue;
        long x = 1, b = a % nn, e = d;
        while (e > 0) {
            if ((e & 1L) != 0) x = (x * b) % nn;
            b = (b * b) % nn;
            e >>= 1;
        }
        if (x == 1 || x == nn - 1) continue;
        boolean witness = true;
        for (int r = 1; r < s; r++) {
            x = (x * x) % nn;
            if (x == nn - 1) { witness = false; break; }
        }
        if (witness) return 0;
    }
    return 1;
}
}
"
40	"class Algo {
public static int is_prime(int n) {
    if (n <= 1) return 0;
    if (n == 2) return 1;
    if ((n & 1) == 0) return 0;
    for (int i = 3; i <= n / i; i += 2) {
        if (n % i == 0) return 0;
    }
    return 1;
}
}
"
41	"class Algo {
public static int is_prime(int n) {
    if (n < 2) return 0;
    if ((n & 1) == 0) return n == 2 ? 1 : 0;
    long mod = n;
    long dd = (long) n - 1;
    int s = Long.numberOfTrailingZeros(dd);
    long d = dd >> s;
    int[] bases = {2, 7, 61};
    for (int a : bases) {
        if (a % n == 0) continue;
        long x = 1;
        long p = a % n;
        long e = d;
        while (e > 0) {
            if ((e & 1L) != 0) x = (x * p) % mod;
            p = (p * p) % mod;
            e >>= 1;
        }
        if (x == 1 || x == mod - 1) continue;
        boolean ok = false;
        for (int r = 1; r < s; r++) {
            x = (x * x) % mod;
            if (x == mod - 1) { ok = true; break; }
        }
        if (!ok) return 0;
    }
    return 1;
}
}
"
42	"public class Algo {
    public static int is_prime(int n) {
        if (n <= 1) return 0;
        if (n == 2) return 1;
        if ((n & 1) == 0) return 0;
        for (int i = 3; i <= n / i; i += 2) {
            if (n % i == 0) return 0;
        }
        return 1;
    }
}
"
43	"class Algo {
public static int is_prime(int n) {
    if (n <= 1) return 0;
    if (n <= 3) return 1;
    if (n % 2 == 0 || n % 3 == 0) return 0;
    int i = 5;
    while (i <= n / i) {
        if (n % i == 0 || n % (i + 2) == 0) return 0;
        i += 6;
    }
    return 1;
}
}
"
44	"class Algo {
public static int is_prime(int n) {
    if (n <= 1) return 0;
    if (n <= 3) return 1;
    if ((n & 1) == 0 || n % 3 == 0) return 0;
    long i = 5;
    while (i * i <= n) {
        if (n % i == 0 || n % (i + 2) == 0) return 0;
        i += 6;
    }
    return 1;
}
}
"
45	"class Algo {
public static int is_prime(int n) {
    if (n <= 1) return 0;
    if (n <= 3) return 1;
    if (n % 2 == 0 || n % 3 == 0) return 0;
    long i = 5;
    while (i * i <= n) {
        if (n % i == 0 || n % (i + 2) == 0) return 0;
        i += 6;
    }
    return 1;
}
}
"
46	"class Algo {
    public static int is_prime(int n) {
        if (n <= 1) return 0;
        if (n <= 3) return 1;
        if (n % 2 == 0 || n % 3 == 0) return 0;
        long nn = n;
        for (long i = 5; i * i <= nn; i += 6) {
            if (n % i == 0 || n % (i + 2) == 0) return 0;
        }
        return 1;
    }
}
"
47	"class Algo {
public static int is_prime(int n) {
    if (n < 2) return 0;
    if ((n & 1) == 0) return n == 2 ? 1 : 0;
    if (n % 3 == 0) return n == 3 ? 1 : 0;
    if (n % 5 == 0) return n == 5 ? 1 : 0;
    if (n % 7 == 0) return n == 7 ? 1 : 0;
    if (n % 11 == 0) return n == 11 ? 1 : 0;
    long d = n - 1L;
    int s = 0;
    while ((d & 1L) == 0) { d >>= 1; s++; }
    int[] bases = {2, 7, 61};
    outer:
    for (int a : bases) {
        if (a >= n) continue;
        long mod = n;
        long e = d;
        long base = a % mod;
        long x = 1L;
        while (e > 0) {
            if ((e & 1L) != 0) x = (x * base) % mod;
            base = (base * base) % mod;
            e >>= 1;
        }
        if (x == 1 || x == mod - 1) continue;
        for (int r = 1; r < s; r++) {
            x = (x * x) % mod;
            if (x == mod - 1) continue outer;
            if (x == 1) return 0;
        }
        return 0;
    }
    return 1;
}
}
"
48	"class Algo {
public static int is_prime(int n) {
    if (n <= 1) return 0;
    int[] small = {2, 3, 5, 7, 11};
    for (int p : small) {
        if (n == p) return 1;
        if (n % p == 0) return 0;
    }
    long d = n - 1L;
    int s = 0;
    while ((d & 1L) == 0L) {
        d >>= 1;
        s++;
    }
    int[] bases = {2, 3, 5, 7, 11};
    outer:
    for (int aBase : bases) {
        long a = aBase % n;
        long x = 1L, p = a, e = d;
        while (e > 0) {
            if ((e & 1L) != 0L) x = (x * p) % n;
            p = (p * p) % n;
            e >>= 1;
        }
        if (x == 1L || x == n - 1L) continue;
        for (int r = 1; r < s; r++) {
            x = (x * x) % n;
            if (x == n - 1L) continue outer;
        }
        return 0;
    }
    return 1;
}
}
"
49	"public class Algo {
    public static int lcm(int a, int b) {
        long aa = Math.abs((long) a);
        long bb = Math.abs((long) b);
        if (aa == 0 || bb == 0) return 0;
        long x = aa, y = bb;
        while (y != 0) {
            long t = x % y;
            x = y;
            y = t;
        }
        long res = (aa / x) * bb;
        return (int) res;
    }
}
"
50	"public class Algo {
    public static int lcm(int a, int b) {
        if (a == 0 || b == 0) return 0;
        long x = Math.abs((long)a);
        long y = Math.abs((long)b);
        long u = x, v = y;
        int shift = Long.numberOfTrailingZeros(u | v);
        u >>= Long.numberOfTrailingZeros(u);
        do {
            v >>= Long.numberOfTrailingZeros(v);
            if (u > v) { long t = u; u = v; v = t; }
            v -= u;
        } while (v != 0);
        long g = u << shift;
        long res = (x / g) * y;
        return (int) res;
    }
}
"
51	"class Algo {
public static int lcm(int a, int b) {
    long x = Math.abs((long) a);
    long y = Math.abs((long) b);
    if (x == 0 || y == 0) return 0;
    long res = 1;
    for (long i = 2; i * i <= x || i * i <= y; i++) {
        int ea = 0;
        while (x % i == 0) { x /= i; ea++; }
        int eb = 0;
        while (y % i == 0) { y /= i; eb++; }
        int e = ea > eb ? ea : eb;
        while (e-- > 0) res *= i;
    }
    if (x > 1 && y > 1) {
        if (x == y) res *= x;
        else res *= x * y;
    } else if (x > 1) {
        res *= x;
    } else if (y > 1) {
        res *= y;
    }
    return (int) res;
}
}
"
52	"class Algo {
public static int lcm(int a, int b) {
    if (a == 0 || b == 0) return 0;
    long aa = Math.abs((long) a);
    long bb = Math.abs((long) b);
    long x = aa, y = bb;
    while (y != 0) {
        long t = x % y;
        x = y;
        y = t;
    }
    long g = x;
    long res = (aa / g) * bb;
    return (int) res;
}
}
"
53	"class Algo {
public static int lcm(int a, int b) {
    long x = Math.abs((long) a), y = Math.abs((long) b);
    if (x == 0 || y == 0) return 0;
    long res = 1;
    for (long p = 2; (p * p <= x) || (p * p <= y); p++) {
        int e1 = 0, e2 = 0;
        while (x % p == 0) { x /= p; e1++; }
        while (y % p == 0) { y /= p; e2++; }
        int m = e1 > e2 ? e1 : e2;
        while (m-- > 0) res *= p;
    }
    if (x > 1 && y > 1) {
        if (x == y) res *= x;
        else res *= x * y;
    } else if (x > 1) res *= x;
    else if (y > 1) res *= y;
    return (int) res;
}
}
"
54	"class Algo {
public static int lcm(int a, int b) {
    if (a == 0 || b == 0) return 0;
    long x = Math.abs((long) a);
    long y = Math.abs((long) b);
    long u = x, v = y;
    while (v != 0) {
        long t = u % v;
        u = v;
        v = t;
    }
    long g = u;
    long l = (x / g) * y;
    return (int) l;
}
}
"
55	"class Algo {
public static int lcm(int a, int b) {
    if (a == 0 || b == 0) return 0;
    long aa = a;
    long bb = b;
    long aAbs = aa >= 0 ? aa : -aa;
    long bAbs = bb >= 0 ? bb : -bb;
    long x = aAbs, y = bAbs;
    while (y != 0) {
        long t = x % y;
        x = y;
        y = t;
    }
    long gcd = x;
    long res = (aAbs / gcd) * bAbs;
    return (int) res;
}
}
"
56	"public class Algo {
    public static int lcm(int a, int b) {
        if (a == 0 || b == 0) return 0;
        long la = Math.abs((long) a);
        long lb = Math.abs((long) b);
        long x = la, y = lb;
        while (y != 0) {
            long t = x % y;
            x = y;
            y = t;
        }
        long result = (la / x) * lb;
        return (int) result;
    }
}
"
57	"class Algo {
public static int lcm(int a, int b) {
    if (a == 0 || b == 0) return 0;
    long x = a, y = b;
    if (x < 0) x = -x;
    if (y < 0) y = -y;
    long u = x, v = y;
    while (v != 0) {
        long t = u % v;
        u = v;
        v = t;
    }
    long l = (x / u) * y;
    return (int) l;
}
}
"
58	"class Algo {
public static int lcm(int a, int b) {
    if (a == 0 || b == 0) return 0;
    long x = Math.abs((long) a);
    long y = Math.abs((long) b);

    long u = x, v = y;
    int tzU = Long.numberOfTrailingZeros(u);
    int tzV = Long.numberOfTrailingZeros(v);
    int shift = Math.min(tzU, tzV);

    u >>= tzU;
    v >>= tzV;

    while (u != v) {
        if (u > v) {
            long t = u;
            u = v;
            v = t;
        }
        v -= u;
        v >>= Long.numberOfTrailingZeros(v);
    }

    long g = u << shift;
    long res = (x / g) * y;
    return (int) res;
}
}
"
59	"public class Algo {
    public static int lcm(int a, int b) {
        if (a == 0 || b == 0) return 0;
        long x = Math.abs((long) a);
        long y = Math.abs((long) b);
        long r = 1;
        long d = 2;
        while (x > 1 || y > 1) {
            boolean divided = false;
            if (x % d == 0) { x /= d; divided = true; }
            if (y % d == 0) { y /= d; divided = true; }
            if (divided) {
                r *= d;
            } else {
                d += (d == 2 ? 1 : 2);
            }
        }
        return (int) r;
    }
}
"
60	"class Algo {
public static int lower_bound(int[] a, int n, int x) {
    int pos = -1;
    int step = 1;
    while (step < n) step <<= 1;
    for (; step > 0; step >>= 1) {
        int next = pos + step;
        if (next < n && a[next] < x) pos = next;
    }
    return pos + 1;
}
}
"
61	"class Algo {
public static int lower_bound(int[] a, int n, int x) {
    int k = 1;
    while (k < n) k <<= 1;
    int pos = -1;
    for (; k != 0; k >>= 1) {
        int next = pos + k;
        if (next < n && a[next] < x) pos = next;
    }
    return pos + 1;
}
}
"
62	"class Algo {
public static int lower_bound(int[] a, int n, int x) {
    int lo = 0, hi = n;
    while (lo < hi) {
        int mid = lo + ((hi - lo) >>> 1);
        if (a[mid] < x) {
            lo = mid + 1;
        } else {
            hi = mid;
        }
    }
    return lo;
}
}
"
63	"class Algo {
public static int lower_bound(int[] a, int n, int x) {
    if (n <= 0) return 0;
    int k = 1 << (31 - Integer.numberOfLeadingZeros(n));
    int idx = -1;
    while (k > 0) {
        long next = (long) idx + k;
        if (next < n && a[(int) next] < x) {
            idx = (int) next;
        }
        k >>= 1;
    }
    return idx + 1;
}
}
"
64	"class Algo {
public static int lower_bound(int[] a, int n, int x) {
    int pos = -1;
    for (int step = Integer.highestOneBit(n); step != 0; step >>= 1) {
        int next = pos + step;
        if (next < n && a[next] < x) {
            pos = next;
        }
    }
    return pos + 1;
}
}
"
65	"class Algo {
public static int lower_bound(int[] a, int n, int x) {
    int l = 0, r = n;
    while (l < r) {
        int m = l + ((r - l) >>> 1);
        if (a[m] < x) {
            l = m + 1;
        } else {
            r = m;
        }
    }
    return l;
}
}
"
66	"class Algo {
public static int lower_bound(int[] a, int n, int x) {
    int step = 1;
    while (step < n) step <<= 1;
    int idx = -1;
    while (step > 0) {
        int next = idx + step;
        if (next < n && a[next] < x) idx = next;
        step >>= 1;
    }
    return idx + 1;
}
}
"
67	"public class Algo {
    public static int lower_bound(final int[] a, int n, int x) {
        int i = -1;
        int step = 1;
        while (step < n) step <<= 1;
        while (step > 0) {
            int ni = i + step;
            if (ni < n && a[ni] < x) i = ni;
            step >>= 1;
        }
        return i + 1;
    }
}
"
68	"class Algo {
public static int lower_bound(int[] a, int n, int x) {
    if (n <= 0) return 0;
    if (a[0] >= x) return 0;
    int lo = 0, hi = 1;
    while (hi < n && a[hi] < x) {
        lo = hi;
        hi <<= 1;
    }
    if (hi > n) hi = n;
    int l = lo + 1, r = hi;
    while (l < r) {
        int m = l + ((r - l) >>> 1);
        if (a[m] < x) l = m + 1;
        else r = m;
    }
    return l;
}
}
"
69	"public class Algo {
    public static int lower_bound(int[] a, int n, int x) {
        int idx = -1;
        int step = 1;
        while (step < n) step <<= 1;
        while (step > 0) {
            int next = idx + step;
            if (next < n && a[next] < x) {
                idx = next;
            }
            step >>= 1;
        }
        return idx + 1;
    }
}
"
70	"public class Algo {
    public static int lower_bound(int[] a, int n, int x) {
        if (n <= 0) return 0;
        int step = 1 << (31 - Integer.numberOfLeadingZeros(n));
        int pos = -1;
        while (step > 0) {
            int next = pos + step;
            if (next < n && a[next] < x) {
                pos = next;
            }
            step >>= 1;
        }
        return pos + 1;
    }
}
"
71	"public class Algo {
    public static int lower_bound(int[] a, int n, int x) {
        int idx = -1;
        int p = 1;
        while (p < n) p <<= 1;
        if (p > n) p >>= 1;
        while (p > 0) {
            int next = idx + p;
            if (next < n && a[next] < x) {
                idx = next;
            }
            p >>= 1;
        }
        return idx + 1;
    }
}
"
72	"class Algo {
public static long max_subarray_sum(int[] a, int n) {
    if (a == null || n <= 0) return 0L;
    int len = Math.min(n, a.length);
    if (len == 0) return 0L;
    long current = a[0];
    long best = current;
    for (int i = 1; i < len; i++) {
        long val = a[i];
        current = current < 0 ? val : current + val;
        if (current > best) best = current;
    }
    return best;
}
}
"
73	"class Algo {
public static long max_subarray_sum(final int[] a, long n) {
    if (a == null || n <= 0) return 0L;
    int len = (int) Math.min(n, (long) a.length);
    if (len == 0) return 0L;
    long maxSoFar = Long.MIN_VALUE;
    long curr = 0L;
    for (int i = 0; i < len; i++) {
        long ai = a[i];
        if (curr > 0) {
            curr += ai;
        } else {
            curr = ai;
        }
        if (curr > maxSoFar) {
            maxSoFar = curr;
        }
    }
    return maxSoFar;
}
}
"
