id,seq
29,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t is_non_decreasing ( const int32_t * a , size_t n ) { if ( n < 2 ) return 1 ; if ( a [ 0 ] > a [ 1 ] ) return 0 ; return is_non_decreasing ( a + 1 , n - 1 ) ; }"
55,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lcm ( int32_t a , int32_t b ) { if ( a == 0 || b == 0 ) return 0 ; int64_t x = static_cast < int64_t > ( a ) ; if ( x < 0 ) x = - x ; int64_t y = static_cast < int64_t > ( b ) ; if ( y < 0 ) y = - y ; int64_t m = x , n = y ; while ( n != 0 ) { int64_t r = m % n ; m = n ; n = r ; } int64_t g = m ; int64_t res = ( x / g ) * y ; return static_cast < int32_t > ( res ) ; }"
21,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t gcd ( int32_t a , int32_t b ) { long long x = a ; long long y = b ; if ( x < 0 ) x = - x ; if ( y < 0 ) y = - y ; if ( x == 0 ) return static_cast < int32_t > ( y ) ; if ( y == 0 ) return static_cast < int32_t > ( x ) ; while ( x != y ) { if ( x > y ) x - = y ; else y - = x ; } return static_cast < int32_t > ( x ) ; }"
85,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int64_t max_subarray_sum ( const int32_t * a , size_t n ) { if ( n == 0 ) return 0 ; struct Node { int64_t sum , pref , suff , best ; } ; struct Solver { const int32_t * a ; Node solve ( size_t l , size_t r ) { if ( l + 1 == r ) { int64_t x = static_cast < int64_t > ( a [ l ] ) ; return Node { x , x , x , x } ; } size_t m = l + ( r - l ) / 2 ; Node left = solve ( l , m ) ; Node right = solve ( m , r ) ; Node res ; res . sum = left . sum + right . sum ; res . pref = left . pref > ( left . sum + right . pref ) ? left . pref : ( left . sum + right . pref ) ; res . suff = right . suff > ( right . sum + left . suff ) ? right . suff : ( right . sum + left . suff ) ; int64_t cross = left . suff + right . pref ; res . best = left . best ; if ( right . best > res . best ) res . best = right . best ; if ( cross > res . best ) res . best = cross ; return res ; } } ; Solver s { a } ; Node result = s . solve ( 0 , n ) ; return result . best ; }"
13,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t gcd ( int32_t a , int32_t b ) { int64_t x = a ; if ( x < 0 ) x = - x ; int64_t y = b ; if ( y < 0 ) y = - y ; while ( y != 0 ) { int64_t r = x % y ; x = y ; y = r ; } return static_cast < int32_t > ( x ) ; }"
10,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t gcd ( int32_t a , int32_t b ) { while ( b != 0 ) { int32_t r = a % b ; a = b ; b = r ; } int64_t x = a ; return x < 0 ? int32_t ( - x ) : int32_t ( x ) ; }"
65,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lower_bound ( const int32_t * a , size_t n , int32_t x ) { if ( n == 0 ) return 0 ; if ( a [ 0 ] >= x ) return 0 ; size_t lo = 0 ; size_t hi = 1 ; while ( hi < n && a [ hi ] < x ) { lo = hi ; if ( hi > n / 2 ) { hi = n ; } else { hi < <= 1 ; } } size_t left = lo + 1 ; size_t right = ( hi < n ) ? hi : ( n - 1 ) ; size_t ans = n ; while ( left <= right ) { size_t mid = left + ( right - left ) / 2 ; if ( a [ mid ] >= x ) { ans = mid ; if ( mid == 0 ) break ; right = mid - 1 ; } else { left = mid + 1 ; } } return static_cast < int32_t > ( ans ) ; }"
69,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lower_bound ( const int32_t * a , size_t n , int32_t x ) { struct R { int32_t val ; size_t run ( const int32_t * arr , size_t len ) const { if ( len == 0 ) return 0 ; size_t m = len / 2 ; if ( arr [ m ] < val ) return m + 1 + run ( arr + m + 1 , len - m - 1 ) ; return run ( arr , m ) ; } } ; R r { x } ; size_t idx = r . run ( a , n ) ; return static_cast < int32_t > ( idx ) ; }"
51,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lcm ( int32_t a , int32_t b ) { if ( a == 0 || b == 0 ) return 0 ; long long aa = a ; long long bb = b ; if ( aa < 0 ) aa = - aa ; if ( bb < 0 ) bb = - bb ; auto gcd = [ & ] ( auto self , long long x , long long y ) -> long long { return y == 0 ? x : self ( self , y , x % y ) ; } ; long long g = gcd ( gcd , aa , bb ) ; long long l = ( aa / g ) * bb ; return static_cast < int32_t > ( l ) ; }"
11,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t gcd ( int32_t a , int32_t b ) { long long x = a , y = b ; if ( x < 0 ) x = - x ; if ( y < 0 ) y = - y ; if ( x == 0 ) return ( int32_t ) y ; if ( y == 0 ) return ( int32_t ) x ; while ( x != y ) { if ( x > y ) x - = y ; else y - = x ; } return ( int32_t ) x ; }"
99,include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t popcount_u32 ( uint32_t x ) { x = x - ( ( x > > 1 ) & 0x55555555 u ) ; x = ( x & 0x33333333 u ) + ( ( x > > 2 ) & 0x33333333 u ) ; x = ( x + ( x > > 4 ) ) & 0x0f0f0f0f u ; x = x + ( x > > 8 ) ; x = x + ( x > > 16 ) ; return static_cast < int32_t > ( x & 0x3f ) ; }
128,include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > size_t str_len ( const char * s ) { if ( s == nullptr || * s == 0 ) return 0 ; return size_t ( 1 ) + str_len ( s + 1 ) ; }
30,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t is_non_decreasing ( const int32_t * a , size_t n ) { if ( n == 0 ) return 1 ; struct Res { bool ok ; int32_t mn ; int32_t mx ; } ; auto dfs = [ & ] ( auto && self , size_t l , size_t r ) -> Res { if ( l + 1 == r ) return { true , a [ l ] , a [ l ] } ; size_t m = l + ( r - l ) / 2 ; Res L = self ( self , l , m ) ; if ( ! L . ok ) return L ; Res R = self ( self , m , r ) ; if ( ! R . ok ) return R ; bool ok = ( L . mx <= R . mn ) ; int32_t mn = ( L . mn < R . mn ) ? L . mn : R . mn ; int32_t mx = ( L . mx > R . mx ) ? L . mx : R . mx ; return { ok , mn , mx } ; } ; Res res = dfs ( dfs , 0 , n ) ; return res . ok ? 1 : 0 ; }"
22,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t gcd ( int32_t a , int32_t b ) { uint32_t ua = a >= 0 ? static_cast < uint32_t > ( a ) : static_cast < uint32_t > ( - static_cast < long long > ( a ) ) ; uint32_t ub = b >= 0 ? static_cast < uint32_t > ( b ) : static_cast < uint32_t > ( - static_cast < long long > ( b ) ) ; if ( ua == 0 u ) return static_cast < int32_t > ( ub <= 0x7FFFFFFF u ? ub : 0x80000000 u ) ; if ( ub == 0 u ) return static_cast < int32_t > ( ua <= 0x7FFFFFFF u ? ua : 0x80000000 u ) ; int shift = __builtin_ctz ( static_cast < unsigned int > ( ua | ub ) ) ; ua > >= __builtin_ctz ( static_cast < unsigned int > ( ua ) ) ; do { ub > >= __builtin_ctz ( static_cast < unsigned int > ( ub ) ) ; if ( ua > ub ) { uint32_t t = ua ; ua = ub ; ub = t ; } ub - = ua ; } while ( ub != 0 u ) ; uint32_t res = ua < < shift ; return static_cast < int32_t > ( res <= 0x7FFFFFFF u ? res : 0x80000000 u ) ; }"
36,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t is_non_decreasing ( const int32_t * a , size_t n ) { if ( n <= 1 ) return 1 ; if ( a [ 0 ] <= a [ 1 ] ) return is_non_decreasing ( a + 1 , n - 1 ) ; return 0 ; }"
80,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int64_t max_subarray_sum ( const int32_t * a , size_t n ) { if ( n == 0 ) return 0 ; auto rec = [ & ] ( auto && self , size_t l , size_t r ) -> int64_t { if ( r - l == 1 ) return ( int64_t ) a [ l ] ; size_t m = l + ( r - l ) / 2 ; int64_t left = self ( self , l , m ) ; int64_t right = self ( self , m , r ) ; int64_t sum = 0 ; int64_t bestLeft = ( int64_t ) a [ m - 1 ] ; for ( size_t i = m ; i - - > l ; ) { sum + = ( int64_t ) a [ i ] ; if ( sum > bestLeft ) bestLeft = sum ; } sum = 0 ; int64_t bestRight = ( int64_t ) a [ m ] ; for ( size_t i = m ; i < r ; + + i ) { sum + = ( int64_t ) a [ i ] ; if ( sum > bestRight ) bestRight = sum ; } int64_t cross = bestLeft + bestRight ; int64_t best = left ; if ( right > best ) best = right ; if ( cross > best ) best = cross ; return best ; } ; return rec ( rec , 0 , n ) ; }"
113,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > void reverse_array ( int32_t * a , size_t n ) { if ( ! a || n <= 1 ) return ; size_t i = 0 ; size_t j = n - 1 ; while ( i < j ) { int32_t tmp = a [ i ] ; a [ i ] = a [ j ] ; a [ j ] = tmp ; + + i ; - - j ; } }"
67,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lower_bound ( const int32_t * a , size_t n , int32_t x ) { auto rec = [ & ] ( auto && self , size_t l , size_t r ) -> size_t { if ( l >= r ) return l ; size_t m = l + ( r - l ) / 2 ; if ( a [ m ] < x ) return self ( self , m + 1 , r ) ; return self ( self , l , m ) ; } ; return static_cast < int32_t > ( rec ( rec , 0 , n ) ) ; }"
142,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int64_t sum_array ( const int32_t * a , size_t n ) { constexpr size_t LEVELS = 64 ; int64_t partials [ LEVELS ] = { } ; bool used [ LEVELS ] = { } ; for ( size_t i = 0 ; i < n ; + + i ) { int64_t carry = static_cast < int64_t > ( a [ i ] ) ; size_t level = 0 ; while ( level < LEVELS && used [ level ] ) { carry + = partials [ level ] ; used [ level ] = false ; + + level ; } if ( level < LEVELS ) { partials [ level ] = carry ; used [ level ] = true ; } else { partials [ LEVELS - 1 ] + = carry ; used [ LEVELS - 1 ] = true ; } } int64_t res = 0 ; for ( size_t l = 0 ; l < LEVELS ; + + l ) { if ( used [ l ] ) res + = partials [ l ] ; } return res ; }"
50,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lcm ( int32_t a , int32_t b ) { long long x = a ; if ( x < 0 ) x = - x ; long long y = b ; if ( y < 0 ) y = - y ; long long aa = x , bb = y ; while ( bb != 0 ) { long long t = aa % bb ; aa = bb ; bb = t ; } long long g = aa ; if ( g == 0 ) return 0 ; long long l = ( x / g ) * y ; if ( l < 0 ) l = - l ; return static_cast < int32_t > ( l ) ; }"
125,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > uint32_t rotl32 ( uint32_t x , uint32_t r ) { r & = 31 u ; uint64_t y = ( static_cast < uint64_t > ( x ) < < 32 ) | x ; return static_cast < uint32_t > ( ( y < < r ) > > 32 ) ; }"
28,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t is_non_decreasing ( const int32_t * a , size_t n ) { if ( n <= 1 ) return 1 ; if ( a [ 0 ] > a [ 1 ] ) return 0 ; return is_non_decreasing ( a + 1 , n - 1 ) ; }"
38,include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t is_prime ( int32_t n ) { if ( n <= 1 ) return 0 ; if ( n <= 3 ) return 1 ; if ( n % 2 == 0 || n % 3 == 0 ) return 0 ; for ( int64_t i = 5 ; i * i <= n ; i + = 6 ) { if ( n % i == 0 || n % ( i + 2 ) == 0 ) return 0 ; } return 1 ; }
61,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lcm ( int32_t a , int32_t b ) { if ( a == 0 || b == 0 ) return 0 ; struct H { static int64_t gcd ( int64_t u , int64_t v ) { return v == 0 ? u : gcd ( v , u % v ) ; } } ; int64_t x = a , y = b ; if ( x < 0 ) x = - x ; if ( y < 0 ) y = - y ; int64_t g = H :: gcd ( x , y ) ; int64_t res = ( x / g ) * y ; return static_cast < int32_t > ( res ) ; }"
14,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t gcd ( int32_t a , int32_t b ) { uint32_t ua = a < 0 ? ( uint32_t ) ( - ( uint32_t ) a ) : ( uint32_t ) a ; uint32_t ub = b < 0 ? ( uint32_t ) ( - ( uint32_t ) b ) : ( uint32_t ) b ; if ( ua == 0 ) return ( int32_t ) ub ; if ( ub == 0 ) return ( int32_t ) ua ; unsigned int shift = __builtin_ctz ( ( unsigned int ) ( ua | ub ) ) ; ua > >= __builtin_ctz ( ( unsigned int ) ua ) ; do { ub > >= __builtin_ctz ( ( unsigned int ) ub ) ; if ( ua > ub ) { uint32_t t = ua ; ua = ub ; ub = t ; } ub - = ua ; } while ( ub != 0 ) ; ua < <= shift ; return ( int32_t ) ua ; }"
74,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lower_bound ( const int32_t * a , size_t n , int32_t x ) { size_t lo = 0 , hi = n ; while ( lo < hi ) { size_t mid = lo + ( hi - lo ) / 2 ; if ( a [ mid ] < x ) { lo = mid + 1 ; } else { hi = mid ; } } return static_cast < int32_t > ( lo ) ; }"
53,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lcm ( int32_t a , int32_t b ) { if ( a == 0 || b == 0 ) return 0 ; auto absll = [ ] ( long long x ) -> long long { return x < 0 ? - x : x ; } ; long long x = absll ( ( long long ) a ) ; long long y = absll ( ( long long ) b ) ; auto gcd = [ ] ( long long m , long long n ) -> long long { while ( n != 0 ) { long long t = m % n ; m = n ; n = t ; } return m ; } ; long long g = gcd ( x , y ) ; long long l = ( x / g ) * y ; return ( int32_t ) l ; }"
44,include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t is_prime ( int32_t n ) { if ( n <= 1 ) return 0 ; if ( n <= 3 ) return 1 ; if ( n % 2 == 0 || n % 3 == 0 ) return 0 ; for ( int32_t i = 5 ; i <= n / i ; i + = 6 ) { if ( n % i == 0 || n % ( i + 2 ) == 0 ) return 0 ; } return 1 ; }
116,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > void reverse_array ( int32_t * a , size_t n ) { struct Helper { static void rec ( int32_t * arr , size_t i , size_t j ) { if ( i >= j ) return ; int32_t tmp = arr [ i ] ; arr [ i ] = arr [ j ] ; arr [ j ] = tmp ; rec ( arr , i + 1 , j - 1 ) ; } } ; if ( a == nullptr || n == 0 ) return ; Helper :: rec ( a , 0 , n - 1 ) ; }"
119,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > uint32_t rotl32 ( uint32_t x , uint32_t r ) { uint32_t s = r & 31 u ; uint64_t d = ( uint64_t ( x ) < < 32 ) | x ; return uint32_t ( ( d < < s ) > > 32 ) ; }"
130,include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > size_t str_len ( const char * s ) { if ( ! s ) return 0 ; size_t n = 0 ; while ( s [ n ] != 0 ) + + n ; return n ; }
100,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t popcount_u32 ( uint32_t x ) { const unsigned char t [ 16 ] = { 0 , 1 , 1 , 2 , 1 , 2 , 2 , 3 , 1 , 2 , 2 , 3 , 2 , 3 , 3 , 4 } ; uint32_t c = 0 ; for ( int i = 0 ; i < 8 ; + + i ) { c + = t [ ( x > > ( i * 4 ) ) & 0xF u ] ; } return ( int32_t ) c ; }"
104,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > void reverse_array ( int32_t * a , size_t n ) { if ( a == nullptr || n < 2 ) return ; size_t i = 0 ; size_t j = n - 1 ; while ( i < j ) { int32_t tmp = a [ i ] ; a [ i ] = a [ j ] ; a [ j ] = tmp ; + + i ; - - j ; } }"
66,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lower_bound ( const int32_t * a , size_t n , int32_t x ) { auto rec = [ & ] ( auto && self , size_t l , size_t r ) -> size_t { if ( l >= r ) return l ; size_t m = l + ( r - l ) / 2 ; if ( a [ m ] < x ) return self ( self , m + 1 , r ) ; return self ( self , l , m ) ; } ; size_t idx = rec ( rec , 0 , n ) ; return static_cast < int32_t > ( idx ) ; }"
59,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lcm ( int32_t a , int32_t b ) { if ( a == 0 || b == 0 ) return 0 ; long long x = a < 0 ? - ( long long ) a : ( long long ) a ; long long y = b < 0 ? - ( long long ) b : ( long long ) b ; while ( y != 0 ) { long long t = x % y ; x = y ; y = t ; } long long g = x ; long long res = ( ( long long ) a / g ) * ( long long ) b ; if ( res < 0 ) res = - res ; return ( int32_t ) res ; }"
82,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int64_t max_subarray_sum ( const int32_t * a , size_t n ) { if ( n == 0 ) return 0 ; struct Node { int64_t sum , pref , suff , best ; } ; auto dfs = [ & ] ( auto && self , size_t l , size_t r ) -> Node { if ( l + 1 == r ) { int64_t x = a [ l ] ; return Node { x , x , x , x } ; } size_t m = l + ( r - l ) / 2 ; Node L = self ( self , l , m ) ; Node R = self ( self , m , r ) ; Node res ; res . sum = L . sum + R . sum ; int64_t lp = L . pref ; int64_t rp = L . sum + R . pref ; res . pref = lp > rp ? lp : rp ; int64_t rs = R . suff ; int64_t ls = R . sum + L . suff ; res . suff = rs > ls ? rs : ls ; int64_t best_lr = L . best > R . best ? L . best : R . best ; int64_t cross = L . suff + R . pref ; res . best = best_lr > cross ? best_lr : cross ; return res ; } ; Node res = dfs ( dfs , 0 , n ) ; return res . best ; }"
32,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t is_non_decreasing ( const int32_t * a , size_t n ) { if ( n <= 1 ) return 1 ; if ( ! a ) return 0 ; int32_t prev = a [ 0 ] ; for ( size_t i = 1 ; i < n ; + + i ) { if ( a [ i ] < prev ) return 0 ; prev = a [ i ] ; } return 1 ; }"
84,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int64_t max_subarray_sum ( const int32_t * a , size_t n ) { if ( n == 0 ) return 0 ; struct Node { int64_t sum , pref , suff , best ; } ; auto solve = [ a ] ( auto && self , size_t l , size_t r ) -> Node { if ( l + 1 == r ) { int64_t x = a [ l ] ; return Node { x , x , x , x } ; } size_t m = l + ( r - l ) / 2 ; Node L = self ( self , l , m ) ; Node R = self ( self , m , r ) ; Node res ; res . sum = L . sum + R . sum ; int64_t lp_rp = L . sum + R . pref ; res . pref = ( L . pref > lp_rp ? L . pref : lp_rp ) ; int64_t rs_ls = R . sum + L . suff ; res . suff = ( R . suff > rs_ls ? R . suff : rs_ls ) ; int64_t best_lr = ( L . best > R . best ? L . best : R . best ) ; int64_t cross = L . suff + R . pref ; res . best = ( best_lr > cross ? best_lr : cross ) ; return res ; } ; Node ans = solve ( solve , 0 , n ) ; return ans . best ; }"
23,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t gcd ( int32_t a , int32_t b ) { uint32_t x = a < 0 ? ( uint32_t ) ( - ( int64_t ) a ) : ( uint32_t ) a ; uint32_t y = b < 0 ? ( uint32_t ) ( - ( int64_t ) b ) : ( uint32_t ) b ; if ( x == 0 ) return ( int32_t ) y ; if ( y == 0 ) return ( int32_t ) x ; while ( x != y ) { if ( x > y ) x - = y ; else y - = x ; } return ( int32_t ) x ; }"
107,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > void reverse_array ( int32_t * a , size_t n ) { if ( ! a || n <= 1 ) return ; auto rec = [ & ] ( auto && self , size_t i , size_t j ) -> void { if ( i >= j ) return ; int32_t tmp = a [ i ] ; a [ i ] = a [ j ] ; a [ j ] = tmp ; self ( self , i + 1 , j - 1 ) ; } ; rec ( rec , 0 , n - 1 ) ; }"
5,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t binary_search ( const int32_t * a , size_t n , int32_t x ) { auto rec = [ & ] ( auto && self , size_t lo , size_t hi ) -> int32_t { if ( lo >= hi ) return int32_t ( - 1 ) ; size_t mid = lo + ( ( hi - lo ) > > 1 ) ; int32_t val = a [ mid ] ; if ( val == x ) return static_cast < int32_t > ( mid ) ; if ( x < val ) return self ( self , lo , mid ) ; return self ( self , mid + 1 , hi ) ; } ; return rec ( rec , 0 u , n ) ; }"
6,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t binary_search ( const int32_t * a , size_t n , int32_t x ) { if ( n == 0 ) return - 1 ; long long low = 0 ; long long high = static_cast < long long > ( n ) - 1 ; while ( low <= high ) { long long mid = low + ( high - low ) / 2 ; int32_t val = a [ static_cast < size_t > ( mid ) ] ; if ( val == x ) return static_cast < int32_t > ( mid ) ; if ( val < x ) { low = mid + 1 ; } else { high = mid - 1 ; } } return - 1 ; }"
57,"include < assert . h > include < stdint . h > include < stddef . h > include < stdlib . h > include < stdio . h > int32_t lcm ( int32_t a , int32_t b ) { if ( a == 0 || b == 0 ) return 0 ; auto abs64 = [ ] ( int32_t v ) -> uint64_t { int64_t t = v ; return t < 0 ? ( uint64_t ) ( - t ) : ( uint64_t ) t ; } ; auto gcd64 = [ ] ( uint64_t x , uint64_t y ) -> uint64_t { if ( x == 0 ) return y ; if ( y == 0 ) return x ; int shift = __builtin_ctzll ( x | y ) ; x > >= __builtin_ctzll ( x ) ; do { y > >= __builtin_ctzll ( y ) ; if ( x > y ) { uint64_t t = x ; x = y ; y = t ; } y - = x ; } while ( y ) ; return x < < shift ; } ; uint64_t u = abs64 ( a ) ; uint64_t v = abs64 ( b ) ; uint64_t g = gcd64 ( u , v ) ; uint64_t res = ( u / g ) * v ; return ( int32_t ) res ; }"
